	confidence	interrupted	prediction	amicus	correct	minVotes	winner	caseName	majVotes
04-1034	0.75	Pet	Pet	Pet	1	4	Pet	JOHN A. RAPANOS, ET UX., et al. v. UNITED STATES	5
04-10566	0.2765957446808511	Pet	Res	Res	1	3	Res	MOISES SANCHEZ-LLAMAS v. OREGON	6
04-1067	0.8314606741573034	Res	Pet	Pet	0	3	Res	GEORGIA v. SCOTT FITZ RANDOLPH	5
04-1084	0.6030534351145038	Pet	Pet	No	0	0	Res	ALBERTO R. GONZALES, ATTORNEY GENERAL, et al. v. O CENTRO ESPIRITA BENEFICENTE UNIAO DO VEGETAL et al.	8
04-1131	0.7528735632183908	Res	Pet	No	1	0	Pet	TERRY L. WHITMAN v. DEPARTMENT OF TRANSPORTATION et al.	8
04-1140	0.6030534351145038	Pet	Pet	No	0	0	Res	GERALD T. MARTIN, ET UX. v. FRANKLIN CAPITAL CORPORATION et al.	9
04-1144	0.8314606741573034	Res	Pet	Pet	1	0	Pet	KELLY A. AYOTTE, ATTORNEY GENERAL OF NEW HAMPSHIRE v. PLANNED PARENTHOOD OF NORTHERN NEW ENGLAND, et al.	9
04-1152	0.7528735632183908	Res	Pet	No	1	0	Pet	DONALD H. RUMSFELD, SECRETARY OF DEFENSE, et al. v. FORUM FOR ACADEMIC AND INSTITUTIONAL RIGHTS, INC., et al.	8
04-1170	0.7528735632183908	Res	Pet	No	1	4	Pet	KANSAS v. MICHAEL LEE MARSH, II	5
04-1186	0.75	Pet	Pet	Pet	1	0	Pet	WACHOVIA BANK, NATIONAL ASSOCIATION v. DANIEL G. SCHMIDT, III, et al.	8
04-1203	0.7528735632183908	Res	Pet	No	1	0	Pet	UNITED STATES v. GEORGIA et al.	9
04-1244	0.8314606741573034	Res	Pet	Pet	1	0	Pet	JOSEPH SCHEIDLER, et al. v. NATIONAL ORGANIZATION FOR WOMEN, INC., et al.	8
04-1264	0.6030534351145038	Pet	Pet	No	1	1	Pet	BUCKEYE CHECK CASHING, INC. v. JOHN CARDEGNA et al.	7
04-1324	0.2765957446808511	Pet	Res	Res	1	3	Res	PATRICK DAY v. JAMES R. MCDONOUGH, INTERIM SECRETARY, FLORIDA DEPARTMENT OF CORRECTIONS	6
04-1327	0.5060240963855421	Res	Pet	Res	1	0	Pet	BOBBY LEE HOLMES v. SOUTH CAROLINA	9
04-1329	0.75	Pet	Pet	Pet	1	0	Pet	ILLINOIS TOOL WORKS INC., et al. v. INDEPENDENT INK, INC.	8
04-1332	0.6030534351145038	Pet	Pet	No	1	0	Pet	RICHARD WILL, et al. v. SUSAN HALLOCK, et al.	9
04-1350	0.8314606741573034	Res	Pet	Pet	1	0	Pet	KSR INTERNATIONAL CO. v. TELEFLEX INC. et al.	9
04-1360	0.5060240963855421	Res	Pet	Res	0	4	Res	BOOKER T. HUDSON, JR. v. MICHIGAN	5
04-1371	0.7528735632183908	Res	Pet	No	1	0	Pet	MERRILL LYNCH, PIERCE, FENNER & SMITH INC. v. SHADI DABIT	8
04-1376	0.7528735632183908	Res	Pet	No	0	1	Res	HUMBERTO FERNANDEZ-VARGAS v. ALBERTO R. GONZALES, ATTORNEY GENERAL	8
04-1414	0.6030534351145038	Pet	Pet	No	1	0	Pet	UNITED STATES v. JEFFREY GRUBBS	8
04-1477	0.5060240963855421	Res	Pet	Res	1	3	Pet	GARY KENT JONES v. LINDA K. FLOWERS, et al.	5
04-1495	0.7528735632183908	Res	Pet	No	1	2	Pet	MICHAEL HARTMAN, FRANK KORMANN, PIERCE MCINTOSH, NORMAN ROBBINS, AND ROBERT EDWARDS v. WILLIAM G. MOORE, JR.	5
04-1506	0.75	Pet	Pet	Pet	0	0	Res	ARKANSAS DEPARTMENT OF HEALTH AND HUMAN SERVICES, et al. v. HEIDI AHLBORN	9
04-1527	0.5060240963855421	Res	Pet	Res	0	0	Res	S. D. WARREN COMPANY v. MAINE BOARD OF ENVIRONMENTAL PROTECTION et al.	9
04-1528	0.5060240963855421	Res	Pet	Res	1	3	Pet	NEIL RANDALL, et al. v. WILLIAM H. SORRELL et al.	6
04-1544	0.8314606741573034	Res	Pet	Pet	1	0	Pet	VICKIE LYNN MARSHALL v. E. PIERCE MARSHALL	9
